IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.4.219,2086,2086,FALSE,NRT-Tokyo,Asia Pacific,Tokyo,81,12.23
8.219.240.141,8443,8443,TRUE,SIN-Singapore,Asia Pacific,Singapore,178,12.23
8.222.152.71,2096,2096,TRUE,SIN-Singapore,Asia Pacific,Singapore,102,12.23
47.245.54.98,80,80,FALSE,NRT-Tokyo,Asia Pacific,Tokyo,75,12.23
8.219.171.6,2086,2086,FALSE,SIN-Singapore,Asia Pacific,Singapore,6,12.22
47.236.169.236,2052,2052,FALSE,SIN-Singapore,Asia Pacific,Singapore,18,12.22
47.245.54.98,2082,2082,FALSE,NRT-Tokyo,Asia Pacific,Tokyo,91,12.22
8.219.170.58,2086,2086,FALSE,SIN-Singapore,Asia Pacific,Singapore,21,12.22
47.245.90.176,8080,8080,FALSE,SIN-Singapore,Asia Pacific,Singapore,24,12.22
8.219.129.38,2053,2053,TRUE,SIN-Singapore,Asia Pacific,Singapore,63,12.22
8.222.236.229,2086,2086,FALSE,SIN-Singapore,Asia Pacific,Singapore,126,12.22
8.219.170.180,443,443,TRUE,SIN-Singapore,Asia Pacific,Singapore,105,12.22
47.74.8.238,2082,2082,FALSE,NRT-Tokyo,Asia Pacific,Tokyo,74,12.22
8.219.134.117,8880,8880,FALSE,SIN-Singapore,Asia Pacific,Singapore,17,12.22
8.219.253.18,80,80,FALSE,SIN-Singapore,Asia Pacific,Singapore,19,12.21
47.245.86.230,443,443,TRUE,SIN-Singapore,Asia Pacific,Singapore,80,12.21
8.213.137.24,443,443,TRUE,ICN-Seoul,Asia Pacific,Seoul,142,12.21
8.219.206.180,2086,2086,FALSE,SIN-Singapore,Asia Pacific,Singapore,18,12.2
47.245.86.18,2082,2082,FALSE,SIN-Singapore,Asia Pacific,Singapore,18,12.2
47.236.15.73,2096,2096,TRUE,SIN-Singapore,Asia Pacific,Singapore,122,12.2
8.222.197.251,8880,8880,FALSE,SIN-Singapore,Asia Pacific,Singapore,4,12.2
47.236.65.177,2053,2053,TRUE,SIN-Singapore,Asia Pacific,Singapore,71,12.2
47.236.94.109,2087,2087,TRUE,SIN-Singapore,Asia Pacific,Singapore,106,12.19
8.219.73.188,2053,2053,TRUE,SIN-Singapore,Asia Pacific,Singapore,156,12.19
47.236.201.98,2053,2053,TRUE,SIN-Singapore,Asia Pacific,Singapore,119,12.19
47.236.7.246,2052,2052,FALSE,SIN-Singapore,Asia Pacific,Singapore,16,12.19
8.219.178.101,2087,2087,TRUE,SIN-Singapore,Asia Pacific,Singapore,114,12.19
47.74.46.84,8880,8880,FALSE,NRT-Tokyo,Asia Pacific,Tokyo,80,12.18
47.74.43.95,2052,2052,FALSE,NRT-Tokyo,Asia Pacific,Tokyo,72,12.18
8.219.103.65,2095,2095,FALSE,SIN-Singapore,Asia Pacific,Singapore,8,12.18
8.219.201.245,2083,2083,TRUE,SIN-Singapore,Asia Pacific,Singapore,130,12.18
8.222.236.229,8080,8080,FALSE,SIN-Singapore,Asia Pacific,Singapore,6,12.18
8.219.1.92,2052,2052,FALSE,SIN-Singapore,Asia Pacific,Singapore,36,12.18
47.236.144.48,2082,2082,FALSE,SIN-Singapore,Asia Pacific,Singapore,26,12.18
8.219.185.191,8443,8443,TRUE,SIN-Singapore,Asia Pacific,Singapore,115,12.17
47.236.161.110,2082,2082,FALSE,SIN-Singapore,Asia Pacific,Singapore,39,12.17
8.219.195.47,8443,8443,TRUE,SIN-Singapore,Asia Pacific,Singapore,204,12.17
8.219.170.180,8080,8080,FALSE,SIN-Singapore,Asia Pacific,Singapore,11,12.17
8.222.215.228,2053,2053,TRUE,SIN-Singapore,Asia Pacific,Singapore,64,12.17
8.219.73.188,8880,8880,FALSE,SIN-Singapore,Asia Pacific,Singapore,8,12.17
