IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.227.44,443,443,true,FRA,Europe,Frankfurt,203,7.28
34.65.181.48,443,443,true,AMS,Europe,Amsterdam,163,7.27
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,222,7.25
34.116.216.206,443,443,true,AMS,Europe,Amsterdam,187,7.22
34.116.233.114,443,443,true,FRA,Europe,Frankfurt,235,7.21
34.32.174.17,443,443,true,AMS,Europe,Amsterdam,229,7.19
34.90.125.203,443,443,true,FRA,Europe,Frankfurt,162,7.16
34.65.213.254,443,443,true,FRA,Europe,Frankfurt,178,7.14
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,239,7.13
34.154.80.93,443,443,true,FRA,Europe,Frankfurt,218,7.09
34.116.222.145,443,443,true,FRA,Europe,Frankfurt,208,7.09
34.65.89.138,443,443,true,FRA,Europe,Frankfurt,167,7.04
34.65.255.99,443,443,true,FRA,Europe,Frankfurt,199,7.03
34.118.121.235,443,443,true,FRA,Europe,Frankfurt,202,7.02
35.246.162.217,443,443,true,FRA,Europe,Frankfurt,203,7.01
34.118.58.9,443,443,true,FRA,Europe,Frankfurt,193,6.99
34.65.204.207,443,443,true,AMS,Europe,Amsterdam,198,6.95
34.65.238.241,443,443,true,AMS,Europe,Amsterdam,202,6.95
34.91.47.18,443,443,true,FRA,Europe,Frankfurt,177,6.94
35.246.171.228,443,443,true,FRA,Europe,Frankfurt,221,6.93
34.34.2.31,443,443,true,FRA,Europe,Frankfurt,240,6.88
34.65.50.248,443,443,true,FRA,Europe,Frankfurt,201,6.83
35.204.173.15,443,443,true,FRA,Europe,Frankfurt,221,6.81
34.89.206.136,443,443,true,FRA,Europe,Frankfurt,236,6.79
34.116.245.40,443,443,true,AMS,Europe,Amsterdam,185,6.79
34.90.3.83,443,443,true,FRA,Europe,Frankfurt,215,6.79
34.65.204.207,443,443,true,EWR,North America,Newark,200,6.71
34.65.2.201,443,443,true,AMS,Europe,Amsterdam,210,6.64
34.91.178.56,443,443,true,FRA,Europe,Frankfurt,180,6.63
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,237,6.63
34.65.253.167,443,443,true,FRA,Europe,Frankfurt,177,6.60
34.65.211.8,443,443,true,FRA,Europe,Frankfurt,181,6.58
34.65.30.192,443,443,true,FRA,Europe,Frankfurt,190,6.55
34.65.198.73,443,443,true,FRA,Europe,Frankfurt,261,6.54
34.90.41.188,443,443,true,FRA,Europe,Frankfurt,248,6.51
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,187,6.34
34.118.17.165,443,443,true,FRA,Europe,Frankfurt,214,6.33
34.65.118.112,443,443,true,AMS,Europe,Amsterdam,181,6.29
34.118.4.182,443,443,true,FRA,Europe,Frankfurt,174,6.27
34.65.24.103,443,443,true,FRA,Europe,Frankfurt,162,6.27
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,254,6.26
34.91.199.167,443,443,true,FRA,Europe,Frankfurt,186,6.25
34.118.42.132,443,443,true,FRA,Europe,Frankfurt,202,6.23
34.65.192.38,443,443,true,AMS,Europe,Amsterdam,164,6.21
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,254,6.21
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,289,6.20
34.65.189.135,443,443,true,FRA,Europe,Frankfurt,168,6.15
34.65.229.213,443,443,true,FRA,Europe,Frankfurt,242,6.12
