IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.81.4,2083,2083,true,NRT,Asia Pacific,Tokyo,156,11.98
131.186.43.107,2096,2096,true,NRT,Asia Pacific,Tokyo,130,11.98
168.138.212.74,2052,2052,false,NRT,Asia Pacific,Tokyo,80,11.96
131.186.40.31,2096,2096,true,HKG,Asia Pacific,Hong Kong,164,11.95
132.145.112.247,2095,2095,false,NRT,Asia Pacific,Tokyo,80,11.95
132.145.121.34,80,80,false,NRT,Asia Pacific,Tokyo,84,11.95
158.101.65.24,2095,2095,false,NRT,Asia Pacific,Tokyo,69,11.94
151.145.75.28,2052,2052,false,NRT,Asia Pacific,Tokyo,81,11.94
131.186.43.207,2095,2095,false,NRT,Asia Pacific,Tokyo,88,11.93
158.101.145.246,2095,2095,false,NRT,Asia Pacific,Tokyo,79,11.93
158.101.131.218,8443,8443,true,NRT,Asia Pacific,Tokyo,92,11.93
151.145.71.40,8880,8880,false,NRT,Asia Pacific,Tokyo,75,11.92
132.145.123.14,2087,2087,true,NRT,Asia Pacific,Tokyo,82,11.92
158.101.139.42,2096,2096,true,NRT,Asia Pacific,Tokyo,100,11.91
132.145.124.198,2053,2053,true,NRT,Asia Pacific,Tokyo,88,11.91
158.101.144.189,80,80,false,NRT,Asia Pacific,Tokyo,94,11.91
140.238.53.190,2083,2083,true,NRT,Asia Pacific,Tokyo,101,11.90
138.3.212.226,2082,2082,false,NRT,Asia Pacific,Tokyo,83,11.90
158.101.149.122,8880,8880,false,NRT,Asia Pacific,Tokyo,75,11.90
143.47.184.238,443,443,true,FRA,Europe,Frankfurt,233,11.90
143.47.185.162,443,443,true,FRA,Europe,Frankfurt,169,11.88
158.101.136.239,2087,2087,true,NRT,Asia Pacific,Tokyo,87,11.87
192.9.246.112,8443,443,true,SJC,North America,San Jose,177,11.87
144.21.39.48,443,443,true,AMS,Europe,Amsterdam,188,11.87
132.145.120.182,2052,2052,false,NRT,Asia Pacific,Tokyo,78,11.87
140.238.54.166,8080,8080,false,NRT,Asia Pacific,Tokyo,90,11.86
158.101.95.113,2082,2082,false,NRT,Asia Pacific,Tokyo,71,11.86
158.101.152.221,8080,8080,false,NRT,Asia Pacific,Tokyo,73,11.86
140.238.52.141,2086,2086,false,NRT,Asia Pacific,Tokyo,69,11.84
158.101.144.189,2086,2086,false,NRT,Asia Pacific,Tokyo,78,11.82
158.101.149.71,2082,2082,false,NRT,Asia Pacific,Tokyo,72,11.82
158.101.149.52,2096,2096,true,NRT,Asia Pacific,Tokyo,89,11.81
141.147.189.23,2083,2083,true,NRT,Asia Pacific,Tokyo,83,11.81
168.138.214.62,2095,2095,false,NRT,Asia Pacific,Tokyo,75,11.80
131.186.35.189,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.80
132.145.112.247,8880,8880,false,NRT,Asia Pacific,Tokyo,75,11.80
158.101.158.238,80,80,false,NRT,Asia Pacific,Tokyo,72,11.79
158.101.140.255,2095,2095,false,NRT,Asia Pacific,Tokyo,77,11.79
138.3.214.43,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.78
132.145.123.143,2052,2052,false,NRT,Asia Pacific,Tokyo,82,11.78
158.101.133.129,2052,2052,false,NRT,Asia Pacific,Tokyo,82,11.77
158.180.43.131,443,443,true,FRA,Europe,Frankfurt,202,11.76
140.238.50.99,2086,2086,false,NRT,Asia Pacific,Tokyo,79,11.75
158.101.84.123,8880,8880,false,NRT,Asia Pacific,Tokyo,80,11.75
140.238.35.138,2095,2095,false,NRT,Asia Pacific,Tokyo,73,11.75
140.238.32.238,2052,2052,false,NRT,Asia Pacific,Tokyo,72,11.75
168.138.200.159,2096,2096,true,NRT,Asia Pacific,Tokyo,162,11.74
131.186.47.223,2096,2096,true,NRT,Asia Pacific,Tokyo,129,11.74
158.180.52.153,443,443,true,FRA,Europe,Frankfurt,179,11.73
158.101.144.189,2083,2083,true,NRT,Asia Pacific,Tokyo,100,11.73
140.238.60.71,2053,2053,true,NRT,Asia Pacific,Tokyo,106,11.73
130.162.254.199,443,443,true,FRA,Europe,Frankfurt,167,11.72
158.101.139.42,8443,8443,true,NRT,Asia Pacific,Tokyo,92,11.72
131.186.36.248,2087,2087,true,NRT,Asia Pacific,Tokyo,113,11.71
140.238.38.245,8880,8880,false,NRT,Asia Pacific,Tokyo,88,11.71
140.238.36.248,8880,8880,false,NRT,Asia Pacific,Tokyo,83,11.71
168.138.195.31,80,80,false,NRT,Asia Pacific,Tokyo,70,11.71
158.101.137.96,80,80,false,NRT,Asia Pacific,Tokyo,76,11.71
140.238.35.195,80,80,false,NRT,Asia Pacific,Tokyo,80,11.71
141.147.175.230,2096,2096,true,NRT,Asia Pacific,Tokyo,72,11.70
140.238.52.81,2095,2095,false,NRT,Asia Pacific,Tokyo,72,11.70
140.238.35.195,2053,2053,true,NRT,Asia Pacific,Tokyo,203,11.69
158.101.139.42,8080,8080,false,NRT,Asia Pacific,Tokyo,78,11.68
158.101.144.189,2082,2082,false,NRT,Asia Pacific,Tokyo,75,11.68
168.138.205.38,8880,8880,false,NRT,Asia Pacific,Tokyo,84,11.68
158.101.68.100,2082,2082,false,NRT,Asia Pacific,Tokyo,72,11.68
158.101.95.113,2087,2087,true,NRT,Asia Pacific,Tokyo,101,11.67
131.186.37.69,8880,8880,false,NRT,Asia Pacific,Tokyo,85,11.67
158.180.37.4,443,443,true,FRA,Europe,Frankfurt,170,11.67
130.162.226.189,443,443,true,FRA,Europe,Frankfurt,190,11.67
144.21.32.104,443,443,true,FRA,Europe,Frankfurt,172,11.66
158.101.144.34,2087,2087,true,NRT,Asia Pacific,Tokyo,71,11.66
158.101.149.71,8080,8080,false,NRT,Asia Pacific,Tokyo,94,11.66
132.145.121.175,2096,2096,true,NRT,Asia Pacific,Tokyo,107,11.64
140.238.35.78,80,80,false,NRT,Asia Pacific,Tokyo,82,11.62
140.238.41.167,2082,2082,false,NRT,Asia Pacific,Tokyo,80,11.61
141.144.234.205,443,443,true,FRA,Europe,Frankfurt,192,11.61
158.101.143.49,8080,8080,false,NRT,Asia Pacific,Tokyo,76,11.60
138.3.216.67,2052,2052,false,NRT,Asia Pacific,Tokyo,80,11.60
158.178.242.5,80,80,false,SIN,Asia Pacific,Singapore,2,11.59
152.70.56.110,443,443,true,FRA,Europe,Frankfurt,195,11.59
141.147.186.210,2053,2053,true,NRT,Asia Pacific,Tokyo,73,11.59
132.145.114.250,8080,8080,false,NRT,Asia Pacific,Tokyo,75,11.59
144.24.185.11,443,443,true,FRA,Europe,Frankfurt,195,11.58
138.3.220.4,80,80,false,NRT,Asia Pacific,Tokyo,77,11.58
152.70.58.159,443,443,true,FRA,Europe,Frankfurt,190,11.58
151.145.68.104,2082,2082,false,NRT,Asia Pacific,Tokyo,85,11.57
132.145.114.14,2082,2082,false,NRT,Asia Pacific,Tokyo,82,11.57
140.238.60.177,2086,2086,false,NRT,Asia Pacific,Tokyo,71,11.56
140.238.33.94,2082,2082,false,NRT,Asia Pacific,Tokyo,71,11.56
158.101.143.49,80,80,false,NRT,Asia Pacific,Tokyo,85,11.56
138.3.223.70,8880,8880,false,NRT,Asia Pacific,Tokyo,93,11.55
144.24.174.208,443,443,true,FRA,Europe,Frankfurt,165,11.55
84.235.166.72,443,443,true,FRA,Europe,Frankfurt,169,11.55
